Vernier Format 2
Sin título.cmbl 13/11/2025 15:03:15 .
Último
Tiempo	Campo magnético	Corriente
t	B	I
s	mT	A

0	0.939895363656	-0.000152587890625
0.001	0.998700827615	-0.000457763671875
0.002	1.10868426858	-0.000762939453125
0.003	0.935958596194	-0.00104904174805
0.004	0.947768898579	-0.0013542175293
0.005	0.982953757768	-0.0019645690918
0.006	1.10081073365	-0.00226974487305
0.007	0.924148293809	-0.00288009643555
0.008	0.92808506127	-0.00288009643555
0.009	0.947768898579	-0.0031852722168
0.01	1.04569598919	-0.00349044799805
0.011	0.88896343462	-0.0037956237793
0.012	0.877153132235	-0.00410079956055
0.013	0.896590921577	-0.0044059753418
0.014	0.947768898579	-0.0050163269043
0.015	0.814410900814	-0.0050163269043
0.016	0.80653736589	-0.00532150268555
0.017	0.861406062388	-0.0056266784668
0.018	0.735921599546	-0.00593185424805
0.019	0.735921599546	-0.00593185424805
0.02	0.669242600663	-0.00652313232422
0.021	0.649558763354	-0.00652313232422
0.022	0.649558763354	-0.00682830810547
0.023	0.575006229548	-0.00682830810547
0.024	0.53170178747	-0.00713348388672
0.025	0.500453695742	-0.00713348388672
0.026	0.445584999245	-0.00713348388672
0.027	0.406217324628	-0.00743865966797
0.028	0.371032465438	-0.00743865966797
0.029	0.323791255898	-0.00743865966797
0.03	0.276796094324	-0.00774383544922
0.031	0.22980093275	-0.00743865966797
0.032	0.186496490671	-0.00743865966797
0.033	0.143438096558	-0.00774383544922
0.034	0.0961968870179	-0.00743865966797
0.035	0.0492017254437	-0.00743865966797
0.036	0.00614333133126	-0.00743865966797
0.037	-0.0410978782093	-0.00713348388672
0.038	-0.08021950486	-0.00713348388672
0.039	-0.119587179477	-0.00682830810547
0.04	-0.16264557359	-0.00652313232422
0.041	-0.205703967702	-0.00652313232422
0.042	-0.241134874857	-0.00621795654297
0.043	-0.276565782013	-0.00593185424805
0.044	-0.315687408664	-0.0056266784668
0.045	-0.351118315819	-0.00532150268555
0.046	-0.382366407546	-0.00532150268555
0.047	-0.41386054724	-0.0050163269043
0.048	-0.441171871506	-0.00471115112305
0.049	-0.464792476276	-0.0044059753418
0.05	-0.496286615969	-0.00410079956055
0.051	-0.519661172773	-0.0037956237793
0.052	-0.53540824262	-0.00349044799805
0.053	-0.551155312467	-0.00288009643555
0.054	-0.566902382314	-0.00288009643555
0.055	-0.578466636733	-0.0025749206543
0.056	-0.586340171656	-0.0019645690918
0.057	-0.590276939118	-0.00165939331055
0.058	-0.598150474041	-0.0013542175293
0.059	-0.602087241503	-0.00104904174805
0.06	-0.602087241503	-0.000762939453125
0.061	-0.602087241503	-0.000457763671875
0.062	-0.598150474041	0.000152587890625
0.063	-0.590276939118	0.000457763671875
0.064	-0.582403404194	0.000762939453125
0.065	-0.570593101809	0.00106811523438
0.066	-0.55902884739	0.00137329101562
0.067	-0.539345010082	0.00167846679688
0.068	-0.519661172773	0.00167846679688
0.069	-0.496286615969	0.00228881835938
0.07	-0.468729243737	0.00228881835938
0.071	-0.441171871506	0.00289916992188
0.072	-0.41386054724	0.00320434570312
0.073	-0.386303175008	0.00381469726562
0.074	-0.354809035314	0.00381469726562
0.075	-0.319624176125	0.00381469726562
0.076	-0.288130036432	0.00411987304688
0.077	-0.245071642319	0.00442504882812
0.078	-0.205703967702	0.00442504882812
0.079	-0.166582341051	0.00471115112305
0.08	-0.142961736281	0.00471115112305
0.081	-0.0529081805944	0.0050163269043
0.082	-0.0644724350132	0.0050163269043
0.083	0.045264957982	0.00532150268555
0.084	0.01770758575	0.00532150268555
0.085	0.0846326325991	0.00532150268555
0.086	0.217990630365	0.00532150268555
0.087	0.151311631482	0.00532150268555
0.088	0.206180327979	0.00532150268555
0.089	0.315917720975	0.00532150268555
0.09	0.304353466556	0.00532150268555
0.091	0.335601558283	0.00532150268555
0.092	0.394407022242	0.0050163269043
0.093	0.53170178747	0.0050163269043
0.094	0.457149253663	0.00471115112305
0.095	0.500453695742	0.00471115112305
0.096	0.563195927163	0.00442504882812
0.097	0.672933320158	0.00442504882812
0.098	0.775043226196	0.00381469726562
0.099	0.66136906574	0.00381469726562
0.1	0.704427459852	0.00381469726562
0.101	0.767169691273	0.00320434570312
0.102	0.892654154115	0.00289916992188
0.103	0.822038387771	0.00259399414062
0.104	0.825975155232	0.00228881835938
0.105	0.865342829849	0.00167846679688
0.106	0.935958596194	0.00167846679688
0.107	1.0653798265	0.00137329101562
0.108	0.908401223962	0.00106811523438
0.109	0.939895363656	0.000762939453125
0.11	0.967206687921	0.000457763671875
0.111	1.07719012888	-0.000152587890625
0.112	1.05750629157	-0.000457763671875
0.113	0.975080222845	-0.000762939453125
0.114	0.990827292691	-0.00104904174805
0.115	1.06144305904	-0.00165939331055
0.116	1.15567943015	-0.0019645690918
0.117	0.979016990306	-0.0025749206543
0.118	0.982953757768	-0.0025749206543
0.119	1.03019496731	-0.0031852722168
0.12	1.12418529046	-0.0031852722168
0.121	0.943832131117	-0.0037956237793
0.122	0.939895363656	-0.00410079956055
0.123	0.979016990306	-0.0044059753418
0.124	0.951705666041	-0.00471115112305
0.125	0.869279597311	-0.0050163269043
0.126	0.861406062388	-0.00532150268555
0.127	0.924148293809	-0.0056266784668
0.128	0.790790296043	-0.0056266784668
0.129	0.778979993658	-0.00621795654297
0.13	0.735921599546	-0.00652313232422
0.131	0.696553924929	-0.00652313232422
0.132	0.720174529699	-0.00682830810547
0.133	0.614127856199	-0.00743865966797
0.134	0.629874926046	-0.00743865966797
0.135	0.539575322393	-0.00774383544922
0.136	0.488643393357	-0.00774383544922
0.137	0.449521766706	-0.00774383544922
0.138	0.406217324628	-0.00804901123047
0.139	0.359222163053	-0.00804901123047
0.14	0.311980953513	-0.00804901123047
0.141	0.264985791939	-0.00804901123047
0.142	0.217990630365	-0.00804901123047
0.143	0.170749420824	-0.00804901123047
0.144	0.12375425925	-0.00804901123047
0.145	0.072822330214	-0.00774383544922
0.146	0.0216443532117	-0.00774383544922
0.147	-0.0253508083624	-0.00774383544922
0.148	-0.0762827373983	-0.00743865966797
0.149	-0.119587179477	-0.00743865966797
0.15	-0.16264557359	-0.00713348388672
0.151	-0.205703967702	-0.00682830810547
0.152	-0.245071642319	-0.00652313232422
0.153	-0.288130036432	-0.00652313232422
0.154	-0.323560943587	-0.00621795654297
0.155	-0.358745802776	-0.0056266784668
0.156	-0.394176709931	-0.0056266784668
0.157	-0.425424801659	-0.00532150268555
0.158	-0.456918941352	-0.0050163269043
0.159	-0.488413081046	-0.0044059753418
0.16	-0.519661172773	-0.0044059753418
0.161	-0.547218545005	-0.0037956237793
0.162	-0.566902382314	-0.0031852722168
0.163	-0.582403404194	-0.0031852722168
0.164	-0.598150474041	-0.00288009643555
0.165	-0.609960776426	-0.00288009643555
0.166	-0.621771078811	-0.00226974487305
0.167	-0.629644613735	-0.00165939331055
0.168	-0.633581381197	-0.00165939331055
0.169	-0.64145491612	-0.00104904174805
0.17	-0.637518148658	-0.000762939453125
0.171	-0.633581381197	-0.000457763671875
0.172	-0.629644613735	0.000152587890625
0.173	-0.621771078811	0.000457763671875
0.174	-0.613897543888	0.000762939453125
0.175	-0.602087241503	0.00106811523438
