Vernier Format 2
Sin título.cmbl 13/11/2025 14:20:14 .
Último
Tiempo	Campo magnético	Corriente
t	B	I
s	mT	A

0	0.543512089855	0.000152587890625
0.001	0.563195927163	-0.000152587890625
0.002	0.657432298278	-0.000457763671875
0.003	0.551385624778	-0.000457763671875
0.004	0.571069462087	-0.000762939453125
0.005	0.649558763354	-0.000762939453125
0.006	0.563195927163	-0.000762939453125
0.007	0.571069462087	-0.00104904174805
0.008	0.614127856199	-0.0013542175293
0.009	0.610191088737	-0.00165939331055
0.01	0.571069462087	-0.0019645690918
0.011	0.590753299395	-0.0019645690918
0.012	0.66136906574	-0.00226974487305
0.013	0.559259159701	-0.0025749206543
0.014	0.571069462087	-0.00288009643555
0.015	0.622001391122	-0.00288009643555
0.016	0.535638554931	-0.00288009643555
0.017	0.575006229548	-0.0031852722168
0.018	0.508327230666	-0.0031852722168
0.019	0.500453695742	-0.0031852722168
0.02	0.563195927163	-0.00349044799805
0.021	0.468959556049	-0.0037956237793
0.022	0.484706625895	-0.0037956237793
0.023	0.441648231783	-0.00410079956055
0.024	0.445584999245	-0.00410079956055
0.025	0.406217324628	-0.00410079956055
0.026	0.406217324628	-0.0044059753418
0.027	0.371032465438	-0.0044059753418
0.028	0.367095697977	-0.0044059753418
0.029	0.331664790821	-0.0044059753418
0.03	0.339538325745	-0.00471115112305
0.031	0.292543164171	-0.00471115112305
0.032	0.311980953513	-0.00471115112305
0.033	0.276796094324	-0.0050163269043
0.034	0.249238722092	-0.0050163269043
0.035	0.221927397826	-0.0050163269043
0.036	0.194370025594	-0.0050163269043
0.037	0.170749420824	-0.0050163269043
0.038	0.151311631482	-0.0050163269043
0.039	0.127691026712	-0.0050163269043
0.04	0.104070421941	-0.00471115112305
0.041	0.0806958651374	-0.0044059753418
0.042	0.0570752603671	-0.0044059753418
0.043	0.0373914230586	-0.0044059753418
0.044	0.01770758575	-0.0044059753418
0.045	-0.00173020359216	-0.0044059753418
0.046	-0.0214140409007	-0.00410079956055
0.047	-0.045034645671	-0.0037956237793
0.048	-0.0605356675514	-0.0037956237793
0.049	-0.0762827373983	-0.0037956237793
0.05	-0.0959665747068	-0.00349044799805
0.051	-0.107776877092	-0.0031852722168
0.052	-0.119587179477	-0.0031852722168
0.053	-0.135088201358	-0.00288009643555
0.054	-0.146898503743	-0.00288009643555
0.055	-0.158708806128	-0.00288009643555
0.056	-0.166582341051	-0.0025749206543
0.057	-0.174455875975	-0.00226974487305
0.058	-0.182329410898	-0.0019645690918
0.059	-0.190202945822	-0.0019645690918
0.06	-0.198076480745	-0.00165939331055
0.061	-0.202013248207	-0.00165939331055
0.062	-0.202013248207	-0.0013542175293
0.063	-0.205703967702	-0.0013542175293
0.064	-0.205703967702	-0.000762939453125
0.065	-0.205703967702	-0.000762939453125
0.066	-0.205703967702	-0.000762939453125
0.067	-0.202013248207	-0.000457763671875
0.068	-0.198076480745	-0.000152587890625
0.069	-0.194139713283	-0.000152587890625
0.07	-0.190202945822	-0.000152587890625
0.071	-0.178392643436	0.000457763671875
0.072	-0.174455875975	0.000457763671875
0.073	-0.16264557359	0.000762939453125
0.074	-0.150835271204	0.000762939453125
0.075	-0.142961736281	0.00106811523438
0.076	-0.127460714401	0.00106811523438
0.077	-0.111713644554	0.00137329101562
0.078	-0.0999033421685	0.00167846679688
0.079	-0.0841562723217	0.00167846679688
0.08	-0.0684092024749	0.00167846679688
0.081	-0.0529081805944	0.00198364257812
0.082	-0.0371611107475	0.00198364257812
0.083	-0.017477273439	0.00198364257812
0.084	-0.00173020359216	0.00228881835938
0.085	0.0295178881352	0.00228881835938
0.086	0.0334546555969	0.00228881835938
0.087	0.0806958651374	0.00228881835938
0.088	0.072822330214	0.00259399414062
0.089	0.108007189403	0.00289916992188
0.09	0.178622955747	0.00228881835938
0.091	0.143438096558	0.00228881835938
0.092	0.217990630365	0.00228881835938
0.093	0.186496490671	0.00228881835938
0.094	0.217990630365	0.00228881835938
0.095	0.315917720975	0.00228881835938
0.096	0.24530195463	0.00228881835938
0.097	0.292543164171	0.00198364257812
0.098	0.378906000362	0.00228881835938
0.099	0.311980953513	0.00228881835938
0.1	0.355285395592	0.00198364257812
0.101	0.441648231783	0.00198364257812
0.102	0.371032465438	0.00167846679688
0.103	0.414090859551	0.00167846679688
0.104	0.520137533051	0.00167846679688
0.105	0.418027627013	0.00167846679688
0.106	0.449521766706	0.00167846679688
0.107	0.563195927163	0.00137329101562
0.108	0.465022788587	0.00137329101562
0.109	0.488643393357	0.00106811523438
0.11	0.571069462087	0.000762939453125
0.111	0.535638554931	0.000457763671875
0.112	0.527765020008	0.000457763671875
0.113	0.567132694625	0.000152587890625
0.114	0.66136906574	-0.000152587890625
0.115	0.551385624778	-0.000152587890625
0.116	0.571069462087	-0.000457763671875
0.117	0.665305833201	-0.000762939453125
0.118	0.571069462087	-0.000762939453125
0.119	0.57894299701	-0.00104904174805
0.12	0.641685228431	-0.00104904174805
0.121	0.575006229548	-0.00165939331055
0.122	0.575006229548	-0.00165939331055
0.123	0.614127856199	-0.0019645690918
0.124	0.602317553814	-0.0019645690918
0.125	0.563195927163	-0.0025749206543
0.126	0.606254321276	-0.0025749206543
0.127	0.55532239224	-0.0025749206543
0.128	0.547448857316	-0.00288009643555
0.129	0.590753299395	-0.00288009643555
0.13	0.516200765589	-0.0031852722168
0.131	0.512263998127	-0.0031852722168
0.132	0.575006229548	-0.00349044799805
0.133	0.480769858434	-0.00349044799805
0.134	0.49651692828	-0.0037956237793
0.135	0.449521766706	-0.00410079956055
0.136	0.441648231783	-0.00410079956055
0.137	0.453212486202	-0.0044059753418
0.138	0.406217324628	-0.0044059753418
0.139	0.378906000362	-0.0044059753418
0.14	0.3749692329	-0.00471115112305
0.141	0.343475093207	-0.00471115112305
0.142	0.363158930515	-0.0050163269043
0.143	0.308044186051	-0.0050163269043
0.144	0.280732861786	-0.0050163269043
0.145	0.264985791939	-0.0050163269043
0.146	0.24530195463	-0.0050163269043
0.147	0.225864165288	-0.0050163269043
0.148	0.202243560518	-0.0050163269043
0.149	0.178622955747	-0.0050163269043
0.15	0.151311631482	-0.00532150268555
0.151	0.12375425925	-0.0050163269043
0.152	0.108007189403	-0.0050163269043
0.153	0.0806958651374	-0.0050163269043
0.154	0.0570752603671	-0.0050163269043
0.155	0.0295178881352	-0.00471115112305
0.156	0.010080098793	-0.00471115112305
0.157	-0.00960373851558	-0.0044059753418
0.158	-0.0292875758241	-0.0044059753418
0.159	-0.0489714131327	-0.00410079956055
0.16	-0.0684092024749	-0.00410079956055
0.161	-0.0880930397834	-0.0037956237793
0.162	-0.10384010963	-0.0037956237793
0.163	-0.123523946939	-0.00349044799805
0.164	-0.139024968819	-0.0031852722168
0.165	-0.146898503743	-0.0031852722168
0.166	-0.158708806128	-0.00288009643555
0.167	-0.174455875975	-0.00288009643555
0.168	-0.182329410898	-0.0025749206543
0.169	-0.194139713283	-0.00226974487305
0.17	-0.202013248207	-0.0019645690918
0.171	-0.209640735164	-0.0019645690918
0.172	-0.209640735164	-0.00165939331055
0.173	-0.213577502625	-0.00165939331055
0.174	-0.217514270087	-0.0013542175293
0.175	-0.221451037549	-0.0013542175293
